query_id	query	positive_doc_id	negative_doc_id
Q01	Where do I book a quiet study room in the North Library?	D01	D02
Q02	Which library has walk-in group rooms that are not booked online?	D02	D01
Q03	Which shuttle reaches Riverside Station from platform 3?	D03	D04
Q04	Which shuttle goes to Northside Hall from platform 5?	D04	D03
Q05	What determines the grade in Advanced NLP?	D05	D06
Q06	Can the Advanced NLP project presentation replace the final exam?	D06	D05
Q07	What training is needed before using the soldering station?	D07	D08
Q08	Can visitors use the robotics lab soldering station during the tour?	D08	D07
Q09	Which Luna needs rabbit-based food because of a chicken allergy?	D09	D10
Q10	Which Luna eats standard chicken-based food and has a green collar?	D10	D09
Q11	Can Juniper attend adoption events after the veterinary rest note?	D11	D12
Q12	Which cat may attend the 2026-05-02 adoption event with no restriction?	D12	D11
Q13	Where is the Data Science consultation office?	D13	D14
Q14	Where is the Digital Humanities consultation office?	D14	D13
Q15	What certificate is needed for the laser cutter?	D15	D16
Q16	What equipment is needed to handle liquid samples in the chemistry wet lab?	D16	D15
Q17	When does the Python homework clinic meet?	D17	D18
Q18	When does the statistics homework clinic meet?	D18	D17
Q19	Which seminar focuses on semantic scholarly knowledge graphs?	D19	D20
Q20	Which group focuses on ontology engineering papers?	D20	D19
Q21	Where can students find tire pumps and basic bike tools?	D21	D22
Q22	Where can students borrow a laptop for up to two days?	D22	D21
Q23	Which language course is for A2 speakers?	D23	D24
Q24	Which language course is for complete beginners?	D24	D23
